DateTime,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
1/1/2015 0:00,381.97,16.21,462.34,50.65,702.15,19.84,188.03,"3,357.59",302.67,23.06,"1,195.60",234.53,"2,439.19","2,932.78",195.4,49.53,125.07,291.64,17.52,"1,836.64",41.44,57.77,27.25,4.05,10.07,765.57,385.8,477.81,199.39,177.73,39.66,505.1,43.11,88.5
1/1/2014 0:00,442.58,18.56,535.39,56.9,734.4,23.16,209.36,"3,889.09",352.99,26.81,"1,371.22",274.86,"2,855.96","3,065.52",235.61,57.64,140.77,259.25,17.87,"2,162.01",14.07,66.19,31.37,4.59,11.36,892.17,498.41,542.48,229.9,199.96,47.06,581.96,50,101.32
1/1/2013 0:00,430.19,18.18,521.79,55.62,712.75,23.9,211.69,"3,733.80",343.58,25.28,"1,355.14",271.36,"2,811.88","2,783.25",238.55,58.19,135.41,238.55,16.13,"2,141.92",13.47,61.76,43.3,4.47,10.82,877.17,522.76,521.02,226.43,190.8,48.39,586.84,48.42,98.88
1/1/2012 0:00,409.4,17.23,496.15,54.03,692.11,24.98,208.86,"3,527.14",327.15,23.19,"1,324.74",258.29,"2,683.67","2,704.02",242.04,56.58,128.48,224.97,14.75,"2,086.96",12.44,56.67,40.31,4.09,9.74,838.92,509.51,498.52,216.22,170.64,43.31,552.48,46.58,94.53
1/1/2011 0:00,431.69,18.64,523.33,57.39,722.04,27.57,229.56,"3,749.31",344,23.43,"1,480.71",275.6,"2,865.16","2,659.88",283,62.54,141.76,237.96,15.22,"2,294.99",12.62,60.08,40.72,4.54,10.49,905.27,498.28,528.3,245.12,183.33,49.26,574.09,51.58,99.25
1/1/2010 0:00,392.28,17.18,481.42,50.38,603.43,25.73,209.07,"3,399.67",322,1.26,"1,422.11",249.42,"2,645.19","2,481.58",297.12,59.92,131.92,222.29,13.75,"2,136.10",10.76,53.26,33.97,4.14,9.41,847.38,428.76,479.83,238.11,166.31,41.82,495.81,48.21,90.4
1/1/2009 0:00,401.76,17.61,483.25,52.02,558.18,25.95,207.43,"3,411.26",321.24,,"1,491.47",253.5,"2,700.89","2,412.32",331.31,62.6,130.76,236.81,13.15,"2,199.93",10.83,51.57,37.45,4.16,9.41,871.52,386.19,439.74,244.67,174.1,45.16,436.54,50.57,89.4
1/1/2008 0:00,432.05,19.11,517.33,54.44,570.31,27.84,236.82,"3,745.26",353.36,,"1,631.86",285.72,"2,930.30","2,921.61",355.91,70.23,158.14,275.94,18.07,"2,408.66",13.86,56.08,50.87,4.55,9.91,951.87,462.25,533.61,263.42,214.31,52.19,517.71,55.78,
1/1/2007 0:00,389.19,15.78,470.92,44.41,493.55,23.97,190.18,"3,425.58",319.42,,"1,474.00",256.38,"2,660.59","3,093.58",318.9,60.07,139.97,270.16,21.65,"2,213.10",11.5,50.95,44.12,3.68,8.34,848.56,400.94,429.03,240.5,174.59,43.17,491.25,48.07,
1/1/2006 0:00,336.28,12.86,408.26,34.38,443.79,20.07,156.26,"2,994.70",282.89,,"1,260.40",217.09,"2,320.54","2,706.08",273.55,50.42,115.58,232.18,17.47,"1,949.55",8.74,42.45,30.62,2.72,6.86,733.96,345.58,344.62,208.76,122.02,32.48,423.09,,
