DateTime,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
1/1/2015 0:00,8678660,3429361,11287940,7199741,8296775,1160985,10601397,81787411,5688695,1315325,46671926,5481122,64453200,65860146,10659750,4232874,9777923,4652425,330243,60578494,2931880,566741,1997674,626956,2079328,16938499,5199836,38034079,10368351,19925175,8876777,9764950,2071199,5435611
1/1/2014 0:00,8615214,3482105,11221231,7245646,8206002,1152285,10538300,81450378,5664196,1316277,46777925,5461411,64193550,65423047,10701456,4255512,9804991,4626844,328594,60409620,2971497,554516,2021219,626645,2077775,16892523,5142265,38091089,10418218,20035930,8898289,9692131,2067488,5428803
1/1/2013 0:00,8556189,3542606,11154009,7290088,8108878,1143866,10512400,81174367,5638145,1319062,46930555,5438982,63893525,64984018,10740500,4276598,9833923,4615422,327187,60166830,3008934,542560,2044957,626345,2076067,16843502,5079455,38158041,10473021,20132776,8918904,9618016,2063110,5421725
1/1/2012 0:00,8502227,3604972,11085358,7334003,8008012,1135046,10516100,80972628,5610903,1323159,47063060,5414770,63564221,64525312,10781125,4295878,9864358,4608198,325652,59879471,3045561,530857,2069016,625925,2074278,16791840,5013709,38227044,10526308,20227469,8940113,9542812,2057823,5414889
1/1/2011 0:00,8453501,3661175,11013853,7378650,7906992,1124833,10514000,80855632,5582978,1327709,47084240,5390038,63222227,64021919,10829079,4313099,9895680,4591105,323474,59589076,3083403,519307,2093610,625270,2072487,16738193,4948330,38286831,10569380,20336718,8963769,9466710,2051287,5408937
1/1/2010 0:00,8409949,3705472,10938739,7425008,7808675,1112612,10536518,80827002,5554844,1332101,46931015,5365782,62879530,63459808,10887637,4328165,9927370,4554321,320328,59325229,3123816,507889,2118861,624275,2070741,16682917,4885878,38329781,10596058,20471864,8991254,9390168,2043337,5404294
1/1/2009 0:00,8372663,3735938,10859940,7473513,7713898,1098083,10488000,80899961,5526388,1336135,46583565,5342262,62542900,62828616,10959272,4341264,9959439,4494576,316062,59105625,3167265,496527,2144785,622939,2069039,16626373,4826848,38351916,10604056,20637991,9023357,9313087,2033804,5401153
1/1/2008 0:00,8341532,3754271,10778758,7524087,7622821,1081563,10425000,81065752,5497729,1340073,46068811,5319449,62209207,62145097,11040309,4352636,9991867,4415872,310856,58922109,3212865,485405,2171259,621320,2067313,16568104,4771019,38356786,10595314,20829517,9060103,9236428,2023052,5399371
1/1/2007 0:00,8313737,3762786,10697572,7576672,7536982,1063713,10334000,81277830,5469921,1344296,45429076,5297739,61869227,61455162,11120358,4362426,10024149,4324641,305183,58747861,3258980,474915,2198089,619555,2065426,16506655,4719402,38353338,10573143,21034189,9101185,9162939,2012118,5398692
1/1/2006 0:00,8285343,3765424,10619475,7631012,7457958,1045507,10269000,81472226,5444286,1349363,44728565,5277491,61508926,60821356,11185228,4370777,10055653,4230623,299720,58542619,3303335,465610,2225066,617860,2063131,16440097,4672994,38354450,10542830,21234305,9145914,9096165,2002430,5398673
